time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,14.8,54,1.6,2025-12-11,0,mild,13.72
2025-12-11 01:00:00,14.2,53,1.3,2025-12-11,1,mild,13.139999999999999
2025-12-11 02:00:00,13.7,53,1.5,2025-12-11,2,mild,12.639999999999999
2025-12-11 03:00:00,13.2,53,1.6,2025-12-11,3,mild,12.139999999999999
2025-12-11 04:00:00,12.9,55,1.8,2025-12-11,4,mild,11.8
2025-12-11 05:00:00,12.5,62,1.6,2025-12-11,5,mild,11.26
2025-12-11 06:00:00,12.2,62,1.9,2025-12-11,6,mild,10.959999999999999
2025-12-11 07:00:00,13.2,63,2.2,2025-12-11,7,mild,11.94
2025-12-11 08:00:00,17.5,61,2.2,2025-12-11,8,mild,16.28
2025-12-11 09:00:00,21.5,47,7.6,2025-12-11,9,warm,20.56
2025-12-11 10:00:00,24.3,37,10.7,2025-12-11,10,warm,23.560000000000002
2025-12-11 11:00:00,26.1,29,11.5,2025-12-11,11,warm,25.520000000000003
2025-12-11 12:00:00,27.3,24,10.5,2025-12-11,12,warm,26.82
2025-12-11 13:00:00,27.9,23,9.7,2025-12-11,13,warm,27.439999999999998
2025-12-11 14:00:00,28.0,22,8.9,2025-12-11,14,warm,27.56
2025-12-11 15:00:00,27.6,23,8.4,2025-12-11,15,warm,27.14
2025-12-11 16:00:00,26.6,24,7.5,2025-12-11,16,warm,26.12
2025-12-11 17:00:00,23.5,33,4.3,2025-12-11,17,warm,22.84
2025-12-11 18:00:00,20.4,42,4.4,2025-12-11,18,warm,19.56
2025-12-11 19:00:00,18.4,48,4.9,2025-12-11,19,mild,17.439999999999998
2025-12-11 20:00:00,17.0,51,4.6,2025-12-11,20,mild,15.98
2025-12-11 21:00:00,16.0,55,3.4,2025-12-11,21,mild,14.9
2025-12-11 22:00:00,15.2,55,1.8,2025-12-11,22,mild,14.1
2025-12-11 23:00:00,14.1,56,1.3,2025-12-11,23,mild,12.98
